segment_id,segment_name,lifecycle_stage,churn_risk,avg_activeness,avg_notif_open_rate,primary_window,primary_window_range,primary_window_prob,expected_ctr_primary,secondary_window,secondary_window_range,secondary_window_prob,expected_ctr_secondary,bandit_algorithm,context_features,n_training_rounds
SEG_00_PAI_HIG,Moderately Active Users,paid,high,0.28,0.446,afternoon,12:00-14:59,0.1876,0.1675,late_afternoon,15:00-17:59,0.1737,0.1551,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_00_PAI_LOW,Moderately Active Users,paid,low,0.565,0.402,late_afternoon,15:00-17:59,0.1716,0.1382,afternoon,12:00-14:59,0.171,0.1377,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_00_PAI_MED,Moderately Active Users,paid,medium,0.424,0.43,late_afternoon,15:00-17:59,0.1684,0.1449,afternoon,12:00-14:59,0.1677,0.1443,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_00_TRI_HIG,Moderately Active Users,trial,high,0.264,0.351,afternoon,12:00-14:59,0.1792,0.1257,late_afternoon,15:00-17:59,0.173,0.1213,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_00_TRI_MED,Moderately Active Users,trial,medium,0.374,0.405,late_afternoon,15:00-17:59,0.1676,0.1358,evening,18:00-20:59,0.1675,0.1357,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_01_CHU_CRI,Low Activity Users,churned,critical,0.038,0.098,afternoon,12:00-14:59,0.1676,0.0328,early_morning,06:00-08:59,0.1675,0.0328,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_01_CHU_HIG,Low Activity Users,churned,high,0.076,0.115,night,21:00-23:59,0.1694,0.0388,evening,18:00-20:59,0.1684,0.0386,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_01_INA_CRI,Low Activity Users,inactive,critical,0.023,0.051,night,21:00-23:59,0.1671,0.0169,mid_morning,09:00-11:59,0.167,0.0169,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_01_TRI_CRI,Low Activity Users,trial,critical,0.032,0.038,mid_morning,09:00-11:59,0.168,0.0127,early_morning,06:00-08:59,0.1671,0.0127,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
SEG_01_TRI_HIG,Low Activity Users,trial,high,0.194,0.253,afternoon,12:00-14:59,0.1739,0.0879,late_afternoon,15:00-17:59,0.1722,0.087,LinUCB_disjoint,"activeness,notif_open_rate,preferred_hour,lifecycle,churn_risk",500
