user_id,lifecycle_stage,days_since_signup,age_band,region,sessions_last_7d,exercises_completed_7d,streak_current,coins_balance,feature_ai_tutor_used,feature_leaderboard_viewed,feature_progress_checked,preferred_hour,notif_open_rate_30d,motivation_score,activeness_score,gamification_score,engagement_depth,churn_risk,churn_prob_score,cluster_id,segment_name
SYN_00001,inactive,76,18-24,tier1,0,0,0,20.19,0,0,0,19,0.067,0.28,0.01,0.066,0.013,critical,0.9993,1,Low Activity Users
SYN_00002,trial,3,18-24,tier2,10,9,0,90.72,0,1,1,19,0.379,0.85,0.367,0.365,0.526,medium,0.0,0,Moderately Active Users
SYN_00003,churned,104,18-24,tier1,0,0,0,27.15,0,0,0,21,0.063,0.23,0.009,0.06,0.013,critical,0.9986,1,Low Activity Users
SYN_00004,trial,3,25-34,tier2,4,9,1,72.94,0,0,0,19,0.242,0.67,0.248,0.182,0.048,high,0.0217,1,Low Activity Users
SYN_00005,trial,13,25-34,tier2,7,3,3,24.13,1,1,1,10,0.266,0.79,0.227,0.354,0.853,high,0.001,0,Moderately Active Users
SYN_00006,trial,0,18-24,tier2,6,4,1,32.06,0,1,1,10,0.347,0.44,0.224,0.265,0.519,high,0.0264,0,Moderately Active Users
SYN_00007,paid,97,18-24,tier1,10,14,11,312.45,0,1,1,20,0.335,0.59,0.506,0.548,0.517,low,0.0,0,Moderately Active Users
SYN_00008,paid,94,25-34,tier1,11,18,25,519.15,0,1,1,16,0.247,0.56,0.661,0.804,0.499,low,0.0,0,Moderately Active Users
SYN_00009,paid,27,18-24,tier1,10,17,14,463.52,0,1,1,16,0.509,0.46,0.597,0.632,0.552,low,0.0,0,Moderately Active Users
SYN_00010,trial,50,18-24,tier1,11,7,0,83.81,1,0,0,21,0.343,0.79,0.349,0.2,0.419,medium,0.0,0,Moderately Active Users
SYN_00011,paid,67,35-44,tier3,11,7,21,191.24,1,1,1,19,0.553,0.77,0.516,0.637,0.911,low,0.0,0,Moderately Active Users
SYN_00012,paid,9,18-24,tier3,6,5,10,72.17,0,0,1,3,0.416,0.7,0.307,0.289,0.283,high,0.0004,0,Moderately Active Users
SYN_00013,paid,124,25-34,tier2,7,16,19,525.12,1,1,1,4,0.358,0.64,0.539,0.755,0.872,low,0.0,0,Moderately Active Users
SYN_00014,paid,33,18-24,tier3,5,16,7,569.13,0,1,1,18,0.292,0.72,0.416,0.658,0.508,medium,0.0,0,Moderately Active Users
SYN_00015,inactive,39,35-44,tier3,0,0,1,35.06,0,0,0,21,0.064,0.22,0.016,0.073,0.013,critical,0.9999,1,Low Activity Users
SYN_00016,paid,51,35-44,tier3,16,8,17,268.2,0,1,1,10,0.342,0.65,0.561,0.606,0.518,low,0.0,0,Moderately Active Users
SYN_00017,trial,0,25-34,tier1,5,3,1,30.69,0,1,1,15,0.286,0.58,0.182,0.293,0.507,high,0.0635,0,Moderately Active Users
SYN_00018,paid,29,18-24,tier3,12,13,3,385.6,1,1,1,15,0.444,0.61,0.491,0.499,0.889,low,0.0,0,Moderately Active Users
SYN_00019,paid,23,18-24,tier3,12,7,20,97.67,1,0,1,20,0.514,0.78,0.521,0.431,0.653,medium,0.0,0,Moderately Active Users
SYN_00020,inactive,17,18-24,tier1,0,0,0,46.07,0,0,0,7,0.0,0.13,0.0,0.049,0.0,critical,1.0,1,Low Activity Users
SYN_00021,trial,18,25-34,tier2,11,3,4,37.5,0,0,0,12,0.402,0.62,0.324,0.188,0.08,high,0.001,1,Low Activity Users
SYN_00022,trial,0,25-34,tier1,12,7,1,113.57,1,0,1,20,0.388,0.94,0.38,0.256,0.628,medium,0.0,0,Moderately Active Users
SYN_00023,churned,106,25-34,tier2,0,0,0,35.33,0,0,0,10,0.147,0.3,0.022,0.078,0.029,critical,0.9948,1,Low Activity Users
SYN_00024,trial,0,18-24,tier1,7,5,1,62.21,0,1,1,10,0.369,0.48,0.259,0.288,0.524,high,0.0034,0,Moderately Active Users
SYN_00025,paid,103,25-34,tier1,15,9,10,433.89,0,0,1,19,0.276,0.64,0.503,0.458,0.255,low,0.0,0,Moderately Active Users
