user_id,segment_id,segment_name,lifecycle_stage,lifecycle_day,churn_risk,activeness_score,freq_band,n_notifs_today,primary_window,secondary_window,guardrail_uninstall_rate_pct,frequency_strategy,notif_1_template_id,notif_1_time,notif_1_channel,notif_2_template_id,notif_2_time,notif_2_channel,notif_3_template_id,notif_3_time,notif_3_channel,notif_4_template_id,notif_4_time,notif_4_channel,notif_5_template_id,notif_5_time,notif_5_channel,notif_6_template_id,notif_6_time,notif_6_channel,notif_7_template_id,notif_7_time,notif_7_channel,notif_8_template_id,notif_8_time,notif_8_channel,notif_9_template_id,notif_9_time,notif_9_channel
SYN_00001,SEG_01_INA_CRI,Low Activity Users,inactive,76,critical,0.01,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00002,SEG_00_TRI_MED,Moderately Active Users,trial,3,medium,0.367,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0025,16:00,push,TMPL_0024,19:00,push,TMPL_0024,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00003,SEG_01_CHU_CRI,Low Activity Users,churned,104,critical,0.009,low_active,3,afternoon,early_morning,1.83,"Conservative, avoid fatigue",TMPL_0030,13:00,push,TMPL_0030,07:00,push,TMPL_0026,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00004,SEG_01_TRI_HIG,Low Activity Users,trial,3,high,0.248,low_active,3,afternoon,late_afternoon,1.886,"Conservative, avoid fatigue",TMPL_0047,13:00,push,TMPL_0047,16:00,push,TMPL_0047,13:00,push,,,,,,,,,,,,,,,,,,
SYN_00005,SEG_00_TRI_HIG,Moderately Active Users,trial,13,high,0.227,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00006,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.224,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00007,SEG_00_PAI_LOW,Moderately Active Users,paid,97,low,0.506,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0007,16:00,push,TMPL_0009,13:00,push,TMPL_0008,16:00,push,TMPL_0007,13:00,push,TMPL_0010,16:00,push,,,,,,,,,,,,
SYN_00008,SEG_00_PAI_LOW,Moderately Active Users,paid,94,low,0.661,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0006,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00009,SEG_00_PAI_LOW,Moderately Active Users,paid,27,low,0.597,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0007,13:00,push,TMPL_0006,16:00,push,TMPL_0010,13:00,push,TMPL_0010,16:00,push,,,,,,,,,,,,
SYN_00010,SEG_00_TRI_MED,Moderately Active Users,trial,50,medium,0.349,low_active,3,late_afternoon,evening,0.486,"Conservative, avoid fatigue",TMPL_0023,16:00,push,TMPL_0025,19:00,push,TMPL_0021,16:00,push,,,,,,,,,,,,,,,,,,
SYN_00011,SEG_00_PAI_LOW,Moderately Active Users,paid,67,low,0.516,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0009,16:00,push,TMPL_0009,13:00,push,TMPL_0010,16:00,push,TMPL_0006,13:00,push,TMPL_0010,16:00,push,,,,,,,,,,,,
SYN_00012,SEG_00_PAI_HIG,Moderately Active Users,paid,9,high,0.307,low_active,1,afternoon,evening,2.148,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0003,13:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00013,SEG_00_PAI_LOW,Moderately Active Users,paid,124,low,0.539,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0010,16:00,push,TMPL_0008,13:00,push,TMPL_0007,16:00,push,TMPL_0010,13:00,push,TMPL_0006,16:00,push,,,,,,,,,,,,
SYN_00014,SEG_00_PAI_MED,Moderately Active Users,paid,33,medium,0.416,moderate_active,5,late_afternoon,afternoon,0.674,Balanced approach,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,TMPL_0012,13:00,push,TMPL_0012,16:00,push,,,,,,,,,,,,
SYN_00015,SEG_01_INA_CRI,Low Activity Users,inactive,39,critical,0.016,low_active,3,night,mid_morning,1.842,"Conservative, avoid fatigue",TMPL_0037,22:00,push,TMPL_0037,10:00,push,TMPL_0037,22:00,push,,,,,,,,,,,,,,,,,,
SYN_00016,SEG_00_PAI_LOW,Moderately Active Users,paid,51,low,0.561,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0007,16:00,push,TMPL_0006,13:00,push,TMPL_0006,16:00,push,TMPL_0008,13:00,push,TMPL_0009,16:00,push,,,,,,,,,,,,
SYN_00017,SEG_00_TRI_HIG,Moderately Active Users,trial,0,high,0.182,low_active,1,late_afternoon,afternoon,2.096,"Conservative, avoid fatigue [GUARDRAIL APPLIED]",TMPL_0017,16:00,push,,,,,,,,,,,,,,,,,,,,,,,,
SYN_00018,SEG_00_PAI_LOW,Moderately Active Users,paid,29,low,0.491,moderate_active,5,late_afternoon,afternoon,1.614,Balanced approach,TMPL_0007,16:00,push,TMPL_0009,13:00,push,TMPL_0009,16:00,push,TMPL_0008,13:00,push,TMPL_0007,16:00,push,,,,,,,,,,,,
